LAKE,LAT,LON,Feb-08,Feb-08,Mar-08,Mar-08,Mar-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,May-08,Jun-08,Jun-08,Jun-08,Jul-08,Jul-08,Aug-08,Aug-08,Sep-08,Sep-08,Sep-08,Oct-08,Oct-08,Oct-08,Oct-08,Oct-08,Nov-08,Nov-08,Nov-08,Nov-08,Nov-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Jan-09,Jan-09,Jan-09,Jan-09,Jan-09,Feb-09,Feb-09,Feb-09,Feb-09,Feb-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,May-09,May-09,May-09,May-09,Jun-09,Jun-09,Jun-09,Jul-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Sep-09,Sep-09,Sep-09,Sep-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Dec-09,Dec-09,Jan-10,Jan-10,Jan-10,Jan-10,Feb-10,Feb-10,Feb-10,Feb-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,May-10,May-10,May-10,May-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jul-10,Jul-10,Jul-10,Aug-10,Aug-10,Aug-10,Aug-10,Sep-10,Sep-10,Sep-10,Sep-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Nov-10,Dec-10,Dec-10,Dec-10,Dec-10,Dec-10,Jan-11,Jan-11,Feb-11,Feb-11,Feb-11,Mar-11,Mar-11,Mar-11,Mar-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,May-11,May-11,May-11,May-11,May-11,May-11,Jun-11,Jun-11,Jun-11,Jun-11,Jul-11,Jul-11,Jul-11,Aug-11,Aug-11,Sep-11,Sep-11,Sep-11,Sep-11,Sep-11,Oct-11,Oct-11,Oct-11,Oct-11,Nov-11,Nov-11,Nov-11,Nov-11,Dec-11
Sweetwater Lake,48.22,-98.81,9459,5192,2392,2283,2842,1949,1797,2054,2173,5835,5773,6404,9663,11569,10270,4556,2995,1818,2063,1527,1762,5212,5761,6277,8248,8899,6544,4329,2608,2282,2277,1661,1842,4048,5367,17357,7069,8439,6180,4632,2533,2107,2144,1677,2624,3332,4482,6079,48.22,98.81,9459,5192,2392,2283,2842,1949,1797,2054,2173,5835,5773,6404,9663,11569,10270,4556,2995,1818,2063,1527,1762,5212,5761,6277,8248,8899,6544,4329,2608,2282,2277,1661,1842,4048,5367,17357,7069,8439,6180,4632,2533,2107,2144,1677,2624,3332,4482,6079,48.22,98.81,9459,5192,2392,2283,2842,1949,1797,2054,2173,5835,5773,6404,9663,11569,10270,4556,2995,1818,2063,1527,1762,5212,5761,6277,8248,8899,6544,4329,2608,2282,2277,1661,1842,4048,5367,17357,7069,8439,6180,4632,2533,2107,2144,1677,2624,3332,4482,6079,48.22,98.81,9459,5192,2392,2283,2842,1949,1797,2054,2173,5835,5773,6404,9663,11569,10270,4556,2995,1818,2063,1527,1762,5212,5761,6277,8248,8899,6544,4329,2608,2282,2277,1661,1842,4048,5367,17357,7069,8439,6180,4632,2533
Table Rock Lake,36.61,-93.51,13859,8646,4522,3338,3622,2562,2551,2925,2247,5298,5983,6444,12313,11431,9364,5948,4956,2657,3055,2572,3357,7195,9572,18311,13432,6617,7893,7488,3947,3661,3397,2141,2728,6026,7486,14328,8502,7982,6933,5704,2802,2863,3375,3032,4379,4335,5506,9582,36.61,93.51,13859,8646,4522,3338,3622,2562,2551,2925,2247,5298,5983,6444,12313,11431,9364,5948,4956,2657,3055,2572,3357,7195,9572,18311,13432,6617,7893,7488,3947,3661,3397,2141,2728,6026,7486,14328,8502,7982,6933,5704,2802,2863,3375,3032,4379,4335,5506,9582,36.61,93.51,13859,8646,4522,3338,3622,2562,2551,2925,2247,5298,5983,6444,12313,11431,9364,5948,4956,2657,3055,2572,3357,7195,9572,18311,13432,6617,7893,7488,3947,3661,3397,2141,2728,6026,7486,14328,8502,7982,6933,5704,2802,2863,3375,3032,4379,4335,5506,9582,36.61,93.51,13859,8646,4522,3338,3622,2562,2551,2925,2247,5298,5983,6444,12313,11431,9364,5948,4956,2657,3055,2572,3357,7195,9572,18311,13432,6617,7893,7488,3947,3661,3397,2141,2728,6026,7486,14328,8502,7982,6933,5704,2802
Tadpole Lake,32.42,-93.39,0,0,0,0,0,0,0,0,441,3332,4133,4920,9590,19641,11640,6889,5496,3272,3162,2185,2270,3573,4092,5423,7902,7412,12583,8637,4059,2934,2846,1886,1882,3517,6369,10452,12233,12447,12753,7533,3382,2656,2769,1960,2670,3444,5949,8384,32.42,93.39,0,0,0,0,0,0,0,0,441,3332,4133,4920,9590,19641,11640,6889,5496,3272,3162,2185,2270,3573,4092,5423,7902,7412,12583,8637,4059,2934,2846,1886,1882,3517,6369,10452,12233,12447,12753,7533,3382,2656,2769,1960,2670,3444,5949,8384,32.42,93.39,0,0,0,0,0,0,0,0,441,3332,4133,4920,9590,19641,11640,6889,5496,3272,3162,2185,2270,3573,4092,5423,7902,7412,12583,8637,4059,2934,2846,1886,1882,3517,6369,10452,12233,12447,12753,7533,3382,2656,2769,1960,2670,3444,5949,8384,32.42,93.39,0,0,0,0,0,0,0,0,441,3332,4133,4920,9590,19641,11640,6889,5496,3272,3162,2185,2270,3573,4092,5423,7902,7412,12583,8637,4059,2934,2846,1886,1882,3517,6369,10452,12233,12447,12753,7533,3382
Tamarac Lake,46.92,-95.67,0,0,0,0,0,0,0,0,0,4793,10459,13304,18248,31237,22476,13409,11123,7044,7665,5437,5761,9687,13525,15699,30951,22437,17821,14543,8507,6980,7615,5619,6021,11621,12300,17000,12671,17838,25787,18692,10302,8478,8807,6226,7370,8064,11763,17174,46.92,95.67,0,0,0,0,0,0,0,0,0,4793,10459,13304,18248,31237,22476,13409,11123,7044,7665,5437,5761,9687,13525,15699,30951,22437,17821,14543,8507,6980,7615,5619,6021,11621,12300,17000,12671,17838,25787,18692,10302,8478,8807,6226,7370,8064,11763,17174,46.92,95.67,0,0,0,0,0,0,0,0,0,4793,10459,13304,18248,31237,22476,13409,11123,7044,7665,5437,5761,9687,13525,15699,30951,22437,17821,14543,8507,6980,7615,5619,6021,11621,12300,17000,12671,17838,25787,18692,10302,8478,8807,6226,7370,8064,11763,17174,46.92,95.67,0,0,0,0,0,0,0,0,0,4793,10459,13304,18248,31237,22476,13409,11123,7044,7665,5437,5761,9687,13525,15699,30951,22437,17821,14543,8507,6980,7615,5619,6021,11621,12300,17000,12671,17838,25787,18692,10302
"Tarpon, Lake",28.12,-82.72,0,0,0,0,0,0,0,0,0,964,2568,3425,11411,9370,5382,3143,2498,1497,1469,1040,1079,2980,4493,4475,5817,4683,5812,5336,2538,1937,1987,1399,1264,1699,2114,4368,4448,4246,3819,3713,2109,1715,1902,1259,1571,1540,2204,3363,28.12,82.72,0,0,0,0,0,0,0,0,0,964,2568,3425,11411,9370,5382,3143,2498,1497,1469,1040,1079,2980,4493,4475,5817,4683,5812,5336,2538,1937,1987,1399,1264,1699,2114,4368,4448,4246,3819,3713,2109,1715,1902,1259,1571,1540,2204,3363,28.12,82.72,0,0,0,0,0,0,0,0,0,964,2568,3425,11411,9370,5382,3143,2498,1497,1469,1040,1079,2980,4493,4475,5817,4683,5812,5336,2538,1937,1987,1399,1264,1699,2114,4368,4448,4246,3819,3713,2109,1715,1902,1259,1571,1540,2204,3363,28.12,82.72,0,0,0,0,0,0,0,0,0,964,2568,3425,11411,9370,5382,3143,2498,1497,1469,1040,1079,2980,4493,4475,5817,4683,5812,5336,2538,1937,1987,1399,1264,1699,2114,4368,4448,4246,3819,3713,2109
Tawas Lake,44.31,-83.49,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009,2727,3291,2523,4010,4605,7247,8706,44.31,83.49,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009,2727,3291,2523,4010,4605,7247,8706,44.31,83.49,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009,2727,3291,2523,4010,4605,7247,8706,44.31,83.49,19187,9940,4870,4092,3723,2405,2275,2561,2296,5758,9271,8969,14178,11933,11934,7670,7430,4799,4000,2405,2889,8683,9613,32841,22356,7127,6702,7531,4540,3386,3447,2473,3207,5328,7685,11308,10030,9836,9150,5625,3009
Taylor Park Reservoir,38.84,-106.6,10669,5337,2931,2452,2692,1868,1628,2020,2050,7481,7062,6880,11299,20060,12222,4788,3354,1982,2188,1684,2447,5688,6712,6641,9345,10826,8902,5945,2904,2429,2574,1702,2078,4647,5896,11262,8002,14435,9586,4805,2833,2386,2284,1636,2944,4261,6124,7964,38.84,106.6,10669,5337,2931,2452,2692,1868,1628,2020,2050,7481,7062,6880,11299,20060,12222,4788,3354,1982,2188,1684,2447,5688,6712,6641,9345,10826,8902,5945,2904,2429,2574,1702,2078,4647,5896,11262,8002,14435,9586,4805,2833,2386,2284,1636,2944,4261,6124,7964,38.84,106.6,10669,5337,2931,2452,2692,1868,1628,2020,2050,7481,7062,6880,11299,20060,12222,4788,3354,1982,2188,1684,2447,5688,6712,6641,9345,10826,8902,5945,2904,2429,2574,1702,2078,4647,5896,11262,8002,14435,9586,4805,2833,2386,2284,1636,2944,4261,6124,7964,38.84,106.6,10669,5337,2931,2452,2692,1868,1628,2020,2050,7481,7062,6880,11299,20060,12222,4788,3354,1982,2188,1684,2447,5688,6712,6641,9345,10826,8902,5945,2904,2429,2574,1702,2078,4647,5896,11262,8002,14435,9586,4805,2833
Tenkiller Ferry Lake,35.63,-95.04,0,0,0,0,0,0,0,0,0,0,4415,8742,15514,13871,13167,10784,10644,7105,6768,4577,3967,5118,9499,24102,37048,13045,10494,9690,5713,4983,5239,3589,3388,4533,6947,16237,11396,11545,11070,9648,5583,4545,4704,3521,4310,4144,6331,9135,35.63,95.04,0,0,0,0,0,0,0,0,0,0,4415,8742,15514,13871,13167,10784,10644,7105,6768,4577,3967,5118,9499,24102,37048,13045,10494,9690,5713,4983,5239,3589,3388,4533,6947,16237,11396,11545,11070,9648,5583,4545,4704,3521,4310,4144,6331,9135,35.63,95.04,0,0,0,0,0,0,0,0,0,0,4415,8742,15514,13871,13167,10784,10644,7105,6768,4577,3967,5118,9499,24102,37048,13045,10494,9690,5713,4983,5239,3589,3388,4533,6947,16237,11396,11545,11070,9648,5583,4545,4704,3521,4310,4144,6331,9135,35.63,95.04,0,0,0,0,0,0,0,0,0,0,4415,8742,15514,13871,13167,10784,10644,7105,6768,4577,3967,5118,9499,24102,37048,13045,10494,9690,5713,4983,5239,3589,3388,4533,6947,16237,11396,11545,11070,9648,5583
Tenmile Lake,46.97,-94.58,15484,8590,4755,3589,3887,2672,2507,3307,2592,4471,6329,6984,11601,14718,9860,5561,5179,3513,3875,2788,2878,6415,7284,7265,10038,11010,10904,8034,4414,3549,3381,2350,2891,5643,6338,8794,7879,11390,8514,7054,4179,3469,3575,2674,4228,5099,5740,7343,46.97,94.58,15484,8590,4755,3589,3887,2672,2507,3307,2592,4471,6329,6984,11601,14718,9860,5561,5179,3513,3875,2788,2878,6415,7284,7265,10038,11010,10904,8034,4414,3549,3381,2350,2891,5643,6338,8794,7879,11390,8514,7054,4179,3469,3575,2674,4228,5099,5740,7343,46.97,94.58,15484,8590,4755,3589,3887,2672,2507,3307,2592,4471,6329,6984,11601,14718,9860,5561,5179,3513,3875,2788,2878,6415,7284,7265,10038,11010,10904,8034,4414,3549,3381,2350,2891,5643,6338,8794,7879,11390,8514,7054,4179,3469,3575,2674,4228,5099,5740,7343,46.97,94.58,15484,8590,4755,3589,3887,2672,2507,3307,2592,4471,6329,6984,11601,14718,9860,5561,5179,3513,3875,2788,2878,6415,7284,7265,10038,11010,10904,8034,4414,3549,3381,2350,2891,5643,6338,8794,7879,11390,8514,7054,4179
Tenmile Lake,46.13,-95.96,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583,3461,3340,2162,2477,2297,4425,6770,46.13,95.96,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583,3461,3340,2162,2477,2297,4425,6770,46.13,95.96,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583,3461,3340,2162,2477,2297,4425,6770,46.13,95.96,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583
Tetonka Lake,44.23,-93.61,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322,4147,4373,3431,4946,4731,7026,10944,44.23,93.61,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322,4147,4373,3431,4946,4731,7026,10944,44.23,93.61,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322,4147,4373,3431,4946,4731,7026,10944,44.23,93.61,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322
The Inlet,45.46,-68.89,6539,2967,2004,1471,1836,1241,907,915,1109,4383,3747,7123,11191,7139,4605,3230,2109,1279,1271,978,1260,4038,3132,3001,5149,5204,4802,3932,2386,1466,1447,1240,1432,2874,2927,4769,4012,4287,4227,3729,1733,1237,1523,1158,1651,2159,2810,4604,45.46,68.89,6539,2967,2004,1471,1836,1241,907,915,1109,4383,3747,7123,11191,7139,4605,3230,2109,1279,1271,978,1260,4038,3132,3001,5149,5204,4802,3932,2386,1466,1447,1240,1432,2874,2927,4769,4012,4287,4227,3729,1733,1237,1523,1158,1651,2159,2810,4604,45.46,68.89,6539,2967,2004,1471,1836,1241,907,915,1109,4383,3747,7123,11191,7139,4605,3230,2109,1279,1271,978,1260,4038,3132,3001,5149,5204,4802,3932,2386,1466,1447,1240,1432,2874,2927,4769,4012,4287,4227,3729,1733,1237,1523,1158,1651,2159,2810,4604,45.46,68.89,6539,2967,2004,1471,1836,1241,907,915,1109,4383,3747,7123,11191,7139,4605,3230,2109,1279,1271,978,1260,4038,3132,3001,5149,5204,4802,3932,2386,1466,1447,1240,1432,2874,2927,4769,4012,4287,4227,3729,1733
The Pen,29.67,-90.08,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263,2888,2940,1994,3282,3803,4726,7754,29.67,90.08,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263,2888,2940,1994,3282,3803,4726,7754,29.67,90.08,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263,2888,2940,1994,3282,3803,4726,7754,29.67,90.08,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263
Thermalito Afterbay,39.47,-121.7,0,0,0,0,0,0,0,0,0,2001,4307,5627,10119,8818,9186,8184,8079,4726,4771,3207,3098,4854,6904,11061,21159,10025,9252,9771,5767,4543,4581,3244,3409,5588,6637,10854,8961,15755,12721,9544,5582,4474,4644,3286,3864,3856,5382,7767,39.47,121.7,0,0,0,0,0,0,0,0,0,2001,4307,5627,10119,8818,9186,8184,8079,4726,4771,3207,3098,4854,6904,11061,21159,10025,9252,9771,5767,4543,4581,3244,3409,5588,6637,10854,8961,15755,12721,9544,5582,4474,4644,3286,3864,3856,5382,7767,39.47,121.7,0,0,0,0,0,0,0,0,0,2001,4307,5627,10119,8818,9186,8184,8079,4726,4771,3207,3098,4854,6904,11061,21159,10025,9252,9771,5767,4543,4581,3244,3409,5588,6637,10854,8961,15755,12721,9544,5582,4474,4644,3286,3864,3856,5382,7767,39.47,121.7,0,0,0,0,0,0,0,0,0,2001,4307,5627,10119,8818,9186,8184,8079,4726,4771,3207,3098,4854,6904,11061,21159,10025,9252,9771,5767,4543,4581,3244,3409,5588,6637,10854,8961,15755,12721,9544,5582
Thief Lake,48.49,-95.89,0,0,0,0,0,0,0,0,973,6539,10883,12074,16172,27636,19216,11887,9676,6127,6222,4381,4568,8780,10415,10552,16023,16371,15652,12623,7452,6213,6832,4756,4483,7912,12365,23987,18013,15815,13585,12862,7682,6419,7104,5502,8106,8745,10271,13192,48.49,95.89,0,0,0,0,0,0,0,0,973,6539,10883,12074,16172,27636,19216,11887,9676,6127,6222,4381,4568,8780,10415,10552,16023,16371,15652,12623,7452,6213,6832,4756,4483,7912,12365,23987,18013,15815,13585,12862,7682,6419,7104,5502,8106,8745,10271,13192,48.49,95.89,0,0,0,0,0,0,0,0,973,6539,10883,12074,16172,27636,19216,11887,9676,6127,6222,4381,4568,8780,10415,10552,16023,16371,15652,12623,7452,6213,6832,4756,4483,7912,12365,23987,18013,15815,13585,12862,7682,6419,7104,5502,8106,8745,10271,13192,48.49,95.89,0,0,0,0,0,0,0,0,973,6539,10883,12074,16172,27636,19216,11887,9676,6127,6222,4381,4568,8780,10415,10552,16023,16371,15652,12623,7452,6213,6832,4756,4483,7912,12365,23987,18013,15815,13585,12862,7682
Thompson Lake,44.07,-70.49,18570,8926,4325,3464,3440,2223,2028,2269,1767,5183,6783,10381,22260,16527,8684,5794,4287,2342,2489,1744,2042,6019,6368,7350,10596,8525,9142,8590,4436,3604,3969,2544,2495,4235,5306,10182,9182,8151,8817,11454,6515,5064,5188,3301,3519,3314,4902,7316,44.07,70.49,18570,8926,4325,3464,3440,2223,2028,2269,1767,5183,6783,10381,22260,16527,8684,5794,4287,2342,2489,1744,2042,6019,6368,7350,10596,8525,9142,8590,4436,3604,3969,2544,2495,4235,5306,10182,9182,8151,8817,11454,6515,5064,5188,3301,3519,3314,4902,7316,44.07,70.49,18570,8926,4325,3464,3440,2223,2028,2269,1767,5183,6783,10381,22260,16527,8684,5794,4287,2342,2489,1744,2042,6019,6368,7350,10596,8525,9142,8590,4436,3604,3969,2544,2495,4235,5306,10182,9182,8151,8817,11454,6515,5064,5188,3301,3519,3314,4902,7316,44.07,70.49,18570,8926,4325,3464,3440,2223,2028,2269,1767,5183,6783,10381,22260,16527,8684,5794,4287,2342,2489,1744,2042,6019,6368,7350,10596,8525,9142,8590,4436,3604,3969,2544,2495,4235,5306,10182,9182,8151,8817,11454,6515
Thunder Lake,45.79,-89.22,13995,6661,3371,2699,2981,2252,1803,2066,1612,5366,7317,6872,16780,12028,6739,4791,4331,2563,2665,1880,2089,5538,6558,5026,6758,8681,10504,6545,3308,2672,2779,1987,2049,3574,4865,8347,8772,17809,8047,6036,3345,2464,2463,1829,2597,2641,4925,6767,45.79,89.22,13995,6661,3371,2699,2981,2252,1803,2066,1612,5366,7317,6872,16780,12028,6739,4791,4331,2563,2665,1880,2089,5538,6558,5026,6758,8681,10504,6545,3308,2672,2779,1987,2049,3574,4865,8347,8772,17809,8047,6036,3345,2464,2463,1829,2597,2641,4925,6767,45.79,89.22,13995,6661,3371,2699,2981,2252,1803,2066,1612,5366,7317,6872,16780,12028,6739,4791,4331,2563,2665,1880,2089,5538,6558,5026,6758,8681,10504,6545,3308,2672,2779,1987,2049,3574,4865,8347,8772,17809,8047,6036,3345,2464,2463,1829,2597,2641,4925,6767,45.79,89.22,13995,6661,3371,2699,2981,2252,1803,2066,1612,5366,7317,6872,16780,12028,6739,4791,4331,2563,2665,1880,2089,5538,6558,5026,6758,8681,10504,6545,3308,2672,2779,1987,2049,3574,4865,8347,8772,17809,8047,6036,3345
Tiger Lake,27.89,-81.36,10470,5282,3077,2883,3197,2133,1916,2373,2020,5108,6134,5580,8200,13629,12533,5656,4390,2377,2527,2318,3163,6992,7137,5342,8118,6514,7623,6448,3327,2930,3112,2292,2611,5304,4989,8131,6244,6384,6899,7459,3929,2885,2985,2106,3002,3474,4019,7498,27.89,81.36,10470,5282,3077,2883,3197,2133,1916,2373,2020,5108,6134,5580,8200,13629,12533,5656,4390,2377,2527,2318,3163,6992,7137,5342,8118,6514,7623,6448,3327,2930,3112,2292,2611,5304,4989,8131,6244,6384,6899,7459,3929,2885,2985,2106,3002,3474,4019,7498,27.89,81.36,10470,5282,3077,2883,3197,2133,1916,2373,2020,5108,6134,5580,8200,13629,12533,5656,4390,2377,2527,2318,3163,6992,7137,5342,8118,6514,7623,6448,3327,2930,3112,2292,2611,5304,4989,8131,6244,6384,6899,7459,3929,2885,2985,2106,3002,3474,4019,7498,27.89,81.36,10470,5282,3077,2883,3197,2133,1916,2373,2020,5108,6134,5580,8200,13629,12533,5656,4390,2377,2527,2318,3163,6992,7137,5342,8118,6514,7623,6448,3327,2930,3112,2292,2611,5304,4989,8131,6244,6384,6899,7459,3929
Toad Lake,46.87,-95.49,0,0,0,0,0,0,0,0,0,2741,4513,5058,6195,9482,8630,5356,4116,2418,2486,1940,2044,4221,4681,4602,5987,7783,6974,5050,2638,2089,2370,1864,2298,3956,3865,6723,5630,5575,6070,5401,2949,2399,2517,1862,2589,3008,3667,4865,46.87,95.49,0,0,0,0,0,0,0,0,0,2741,4513,5058,6195,9482,8630,5356,4116,2418,2486,1940,2044,4221,4681,4602,5987,7783,6974,5050,2638,2089,2370,1864,2298,3956,3865,6723,5630,5575,6070,5401,2949,2399,2517,1862,2589,3008,3667,4865,46.87,95.49,0,0,0,0,0,0,0,0,0,2741,4513,5058,6195,9482,8630,5356,4116,2418,2486,1940,2044,4221,4681,4602,5987,7783,6974,5050,2638,2089,2370,1864,2298,3956,3865,6723,5630,5575,6070,5401,2949,2399,2517,1862,2589,3008,3667,4865,46.87,95.49,0,0,0,0,0,0,0,0,0,2741,4513,5058,6195,9482,8630,5356,4116,2418,2486,1940,2044,4221,4681,4602,5987,7783,6974,5050,2638,2089,2370,1864,2298,3956,3865,6723,5630,5575,6070,5401,2949
"Tohopekaliga, Lake",28.21,-81.38,0,0,0,0,0,0,0,0,0,2741,4513,5058,6195,9482,8630,5356,4116,2418,2486,1940,2044,4221,4681,4602,5987,7783,6974,5050,2638,2089,2370,1864,2298,3956,3865,6723,5630,5575,6070,5401,2949,2399,2517,1862,2589,3008,3667,4865,28.21,81.38,0,0,0,0,0,0,0,0,0,2741,4513,5058,6195,9482,8630,5356,4116,2418,2486,1940,2044,4221,4681,4602,5987,7783,6974,5050,2638,2089,2370,1864,2298,3956,3865,6723,5630,5575,6070,5401,2949,2399,2517,1862,2589,3008,3667,4865,28.21,81.38,0,0,0,0,0,0,0,0,0,2741,4513,5058,6195,9482,8630,5356,4116,2418,2486,1940,2044,4221,4681,4602,5987,7783,6974,5050,2638,2089,2370,1864,2298,3956,3865,6723,5630,5575,6070,5401,2949,2399,2517,1862,2589,3008,3667,4865,28.21,81.38,0,0,0,0,0,0,0,0,0,2741,4513,5058,6195,9482,8630,5356,4116,2418,2486,1940,2044,4221,4681,4602,5987,7783,6974,5050,2638,2089,2370,1864,2298,3956,3865,6723,5630,5575,6070,5401,2949
Toledo Bend Reservoir,31.51,-93.75,0,0,0,0,0,0,0,0,0,0,2525,5273,8025,11309,13459,8287,6717,3873,3782,2367,2067,2741,4896,7302,8712,9890,10622,8130,4146,3228,3258,2253,2280,3975,5180,10840,9360,11645,9782,6851,3610,2879,2958,2087,2492,2649,4048,6078,31.51,93.75,0,0,0,0,0,0,0,0,0,0,2525,5273,8025,11309,13459,8287,6717,3873,3782,2367,2067,2741,4896,7302,8712,9890,10622,8130,4146,3228,3258,2253,2280,3975,5180,10840,9360,11645,9782,6851,3610,2879,2958,2087,2492,2649,4048,6078,31.51,93.75,0,0,0,0,0,0,0,0,0,0,2525,5273,8025,11309,13459,8287,6717,3873,3782,2367,2067,2741,4896,7302,8712,9890,10622,8130,4146,3228,3258,2253,2280,3975,5180,10840,9360,11645,9782,6851,3610,2879,2958,2087,2492,2649,4048,6078,31.51,93.75,0,0,0,0,0,0,0,0,0,0,2525,5273,8025,11309,13459,8287,6717,3873,3782,2367,2067,2741,4896,7302,8712,9890,10622,8130,4146,3228,3258,2253,2280,3975,5180,10840,9360,11645,9782,6851,3610
Tom Steed Reservoir,34.77,-99,11319,6588,3895,3372,3074,2724,2483,2828,3130,8666,7559,7373,10737,10303,6312,4925,4794,3128,3852,2916,4743,9887,9300,20767,12075,7329,6804,6925,4493,3292,3619,2606,4079,6298,5574,10072,10235,9400,6989,5594,3597,2531,3440,2667,4071,4343,5700,10682,34.77,99,11319,6588,3895,3372,3074,2724,2483,2828,3130,8666,7559,7373,10737,10303,6312,4925,4794,3128,3852,2916,4743,9887,9300,20767,12075,7329,6804,6925,4493,3292,3619,2606,4079,6298,5574,10072,10235,9400,6989,5594,3597,2531,3440,2667,4071,4343,5700,10682,34.77,99,11319,6588,3895,3372,3074,2724,2483,2828,3130,8666,7559,7373,10737,10303,6312,4925,4794,3128,3852,2916,4743,9887,9300,20767,12075,7329,6804,6925,4493,3292,3619,2606,4079,6298,5574,10072,10235,9400,6989,5594,3597,2531,3440,2667,4071,4343,5700,10682,34.77,99,11319,6588,3895,3372,3074,2724,2483,2828,3130,8666,7559,7373,10737,10303,6312,4925,4794,3128,3852,2916,4743,9887,9300,20767,12075,7329,6804,6925,4493,3292,3619,2606,4079,6298,5574,10072,10235,9400,6989,5594,3597
